iter	Logloss
0	0.663560742
1	0.6381251004
2	0.6151246318
3	0.5951167321
4	0.5788378923
5	0.5639109477
6	0.5515996914
7	0.5404698142
8	0.5307443264
9	0.5221005341
10	0.5148181156
11	0.5082832718
12	0.5023845269
13	0.4973439882
14	0.4929728128
15	0.4893163636
16	0.4857913685
17	0.4827968773
18	0.480086968
19	0.4775867324
20	0.4754000823
21	0.4735837642
22	0.4719136785
23	0.4704159556
24	0.4690767788
25	0.4677697228
26	0.4666792496
27	0.4656616212
28	0.4648075622
29	0.4639567624
30	0.4631827519
31	0.4625300133
32	0.46210437
33	0.4615873071
34	0.4610734197
35	0.4606215334
36	0.4603220462
37	0.459961869
38	0.4596127946
39	0.4592292705
40	0.4589297748
41	0.4586263318
42	0.458390514
43	0.4581712863
44	0.4579706139
45	0.4577591971
46	0.4575859344
47	0.4573801892
48	0.4571804963
49	0.4570059588
50	0.4568491006
51	0.4567442787
52	0.4566484081
53	0.456538094
54	0.4564259212
55	0.4563065086
56	0.4562195756
57	0.4561213668
58	0.4560297216
59	0.455958385
60	0.455894372
61	0.4558109958
62	0.4557553822
63	0.4556824927
64	0.4556054456
65	0.4555314482
66	0.4554921673
67	0.455411358
68	0.4553698981
69	0.4553212514
70	0.4552707499
71	0.4552339403
72	0.4551937959
73	0.4551739252
74	0.4551295369
75	0.4550878939
76	0.4550547447
77	0.4550354623
78	0.4549793113
79	0.4549451622
80	0.4549048481
81	0.4548401848
82	0.45480776
83	0.4547775178
84	0.4547563331
85	0.4547254121
86	0.454678427
87	0.4546484182
88	0.4546174525
89	0.4545783045
90	0.4545481564
91	0.4545005897
92	0.4544637825
93	0.4544266627
94	0.454406138
95	0.4543868118
96	0.4543602817
97	0.4543259482
98	0.4542861881
99	0.4542491087
100	0.4542279395
101	0.4542100512
102	0.4541574153
103	0.45413534
104	0.4541083183
105	0.4540841018
106	0.4540519423
107	0.4540232949
108	0.4539939143
109	0.4539561095
110	0.4539508319
111	0.4539167665
112	0.4538705513
113	0.4538298841
114	0.4537922833
115	0.4537741539
116	0.4537136066
117	0.4536789461
118	0.4536440919
119	0.4536086555
120	0.4535810666
121	0.4535600646
122	0.4535332434
123	0.453499687
124	0.4534896789
125	0.4534647335
126	0.4534293837
127	0.4534096871
128	0.4533663075
129	0.4533303765
130	0.4532993102
131	0.4532787792
132	0.4532467656
133	0.4532025068
134	0.4531728898
135	0.4531331059
136	0.4531100077
137	0.4530841793
138	0.4530556769
139	0.4530424594
140	0.4530308028
141	0.4530185764
142	0.4530008114
143	0.4529587977
144	0.4529321057
145	0.4529070622
146	0.452892106
147	0.452849744
148	0.4528340608
149	0.4528102362
150	0.452784324
