iter	Logloss
365	0.4134814856
366	0.4134586083
367	0.4134499679
368	0.4134162514
369	0.4134022059
370	0.4133800672
371	0.413359145
372	0.4133326579
373	0.4133218051
374	0.413295849
375	0.413286652
376	0.413263631
377	0.4132538138
378	0.4132298382
379	0.4132065335
380	0.413187894
381	0.4131716025
382	0.4131585455
383	0.4131415871
384	0.4131289344
385	0.4131068983
386	0.4130913083
387	0.4130688219
388	0.4130515279
389	0.4130246924
390	0.4130111706
391	0.4129857223
392	0.4129621637
393	0.4129441131
394	0.4129248623
395	0.4129042016
396	0.4128933816
397	0.4128727497
398	0.4128464555
399	0.4128199748
400	0.4127940248
401	0.41277635
402	0.4127583335
403	0.4127285767
404	0.4127157102
405	0.4126974907
406	0.4126792198
407	0.4126598148
408	0.4126434361
409	0.4126349133
410	0.4126123925
411	0.4125971645
412	0.4125852621
413	0.4125776399
414	0.4125651471
415	0.4125414611
416	0.4125279417
417	0.4125094437
418	0.4124890267
419	0.4124629237
420	0.4124462279
421	0.4124237394
422	0.4124065317
423	0.4123830895
424	0.4123586342
425	0.412342299
426	0.4123217345
427	0.4123077917
428	0.4122694675
429	0.4122478191
430	0.4122308996
431	0.4122150134
432	0.4121966639
433	0.412181372
434	0.4121648916
435	0.4121469684
436	0.412132249
437	0.4121128653
438	0.4120943911
439	0.4120799486
440	0.4120637995
441	0.4120565689
442	0.4120361987
443	0.4120166706
444	0.4119938776
445	0.4119769989
446	0.4119638661
447	0.4119440095
448	0.4119281545
449	0.4119053785
450	0.4118886523
451	0.4118655583
452	0.4118504842
453	0.4118426621
454	0.4118205152
455	0.4117986232
456	0.4117762265
457	0.411755292
458	0.4117355245
459	0.4117110433
460	0.4117061319
461	0.4116949043
462	0.4116706103
463	0.4116536833
464	0.4116291375
465	0.4116134196
466	0.4116024058
467	0.4115828807
468	0.4115678409
469	0.4115485246
470	0.4115352942
471	0.4115176397
472	0.4114977811
473	0.4114916089
474	0.4114683273
475	0.4114475717
476	0.4114332381
477	0.4114162549
478	0.4114061993
479	0.4113884463
480	0.4113732857
481	0.4113592821
482	0.411353711
483	0.4113224322
484	0.4113092748
485	0.4112920007
486	0.4112673284
487	0.4112372445
488	0.4112191964
489	0.4111988532
490	0.411180613
491	0.4111589021
492	0.4111454683
493	0.4111348596
494	0.4111147965
495	0.411098119
496	0.4110697887
497	0.4110508319
498	0.4110331048
499	0.4110144847
500	0.4110035282
501	0.4109914618
502	0.4109751057
503	0.4109598221
504	0.4109483655
505	0.4109272085
506	0.4109089042
507	0.4108844185
508	0.4108728357
509	0.4108574407
510	0.4108414139
511	0.4108218616
512	0.4108028622
513	0.4107912926
514	0.410771276
515	0.4107539219
516	0.4107187823
517	0.4107048893
518	0.4106865803
519	0.4106649454
520	0.4106519239
521	0.4106405354
522	0.4106251762
523	0.4106107991
524	0.4105934538
525	0.410589222
526	0.4105750799
527	0.4105628985
528	0.4105491063
529	0.4105356629
530	0.4105269727
531	0.4105130145
532	0.4104863287
533	0.4104707561
534	0.4104561762
535	0.4104398323
536	0.4104103611
537	0.410402805
538	0.4103797998
539	0.4103646113
540	0.4103442586
541	0.4103273755
542	0.4103062936
543	0.4102921404
544	0.4102784297
545	0.4102670165
546	0.4102421731
547	0.4102237159
548	0.4101942041
549	0.4101855563
550	0.4101755892
551	0.4101509296
552	0.4101344914
553	0.4101145114
554	0.4101007829
555	0.4100793117
556	0.4100617237
557	0.4100490145
558	0.4100334606
559	0.4100285783
560	0.4100096847
561	0.4100021735
562	0.4099947307
563	0.4099797827
564	0.409972386
565	0.4099664424
566	0.4099446518
567	0.409936284
568	0.4099237854
569	0.4098996122
570	0.4098683132
571	0.4098515768
572	0.4098443269
573	0.4098297986
574	0.4098177988
575	0.4098084312
576	0.4097956203
577	0.4097790732
578	0.4097633497
579	0.4097447668
580	0.4097324852
581	0.409712418
582	0.4096996012
583	0.4096820602
584	0.4096661421
585	0.409652841
586	0.4096294522
587	0.409618309
588	0.4096011795
589	0.4095885748
590	0.4095673854
591	0.4095552955
592	0.4095302672
593	0.4095073716
594	0.4094901981
595	0.4094737623
596	0.4094548445
597	0.4094374754
598	0.4094285357
599	0.4094099982
600	0.4093933242
601	0.4093812243
602	0.4093567736
603	0.4093479962
604	0.4093372736
605	0.4093189946
606	0.4093001207
607	0.4092821053
608	0.4092664287
609	0.4092458849
610	0.4092298076
611	0.4092161306
612	0.4091964345
613	0.4091685747
614	0.4091531181
615	0.4091348503
616	0.4091146852
617	0.4090838497
618	0.4090683418
619	0.4090491502
620	0.4090373627
621	0.4090209267
622	0.4090021373
623	0.4089911234
624	0.4089742787
625	0.4089629661
626	0.4089454892
